ala,val,leu,ile,pro,cys,met,gly,trp,phe,lys,arg,his,tyr,thr,glu,gln,asp,asn,ser,AGORA2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB405E4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_Ab44444
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB4A3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB5256
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB5711
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB900
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ABIsac_ColiR
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ABNIH1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ABNIH11
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ABNIH14
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ABNIH15
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ABNIH16
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ABNIH18
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ABNIH19
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ABNIH22
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ABNIH23
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ABNIH25
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ABNIH26
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ABNIH3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ABNIH4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ABNIH5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ABNIH6
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AC12
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AC30
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ACICU
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ANC_4097
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ATCC_17978
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ATCC_19606
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AYE
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_BZICU_2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_Canada_BC_5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_Canada_BC1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_IS_116
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_IS_123
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_IS_143
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_IS_235
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_IS_251
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_IS_58
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_LAC_4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_MDR_TJ
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_MDR_ZJ06
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_MSP4_16
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_Naval_113
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_Naval_13
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_Naval_17
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_Naval_18
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_Naval_2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_Naval_21
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_Naval_57
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_Naval_72
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_Naval_78
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_Naval_81
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_Naval_82
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_Naval_83
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_1362
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_146
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_1669
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_1734
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_190
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_201
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_2061
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_24
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_290
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_329
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_335
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_410
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_527
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_528
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_60
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_601
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_615
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_67
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_70
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_NIPH_80
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_OIFC0162
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_OIFC032
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_OIFC035
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_OIFC047
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_OIFC065
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_OIFC074
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_OIFC087
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_OIFC098
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_OIFC099
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_OIFC109
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_OIFC110
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_OIFC111
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_OIFC137
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_OIFC143
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_OIFC180
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_OIFC189
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_OIFC338
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_SDF
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_TCDC_AB0715
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_TYTH_1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_UMB001
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_UMB003
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_W7282
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_WC_348
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_WC_692
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_WC_A_694
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_WC_A_92
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_WM99c
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ZWS1122
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_ZWS1219
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_calcoaceticus_ANC_3680
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_calcoaceticus_ANC_3811
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_calcoaceticus_DSM_30006_CIP_81_8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_calcoaceticus_NIPH_13
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_calcoaceticus_PHEA_2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_calcoaceticus_RUH2202
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_calcoaceticus_subsp_anitratus_XM1570
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_calcoaceticus_TG19585
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_calcoaceticus_TG19588
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_calcoaceticus_TG19593
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_guillouiae_CIP_63_46
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_guillouiae_KCTC_23200
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_guillouiae_MSP4_18
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_guillouiae_NIPH_991
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,Acinetobacter_haemolyticus_ATCC_19194
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,Acinetobacter_haemolyticus_CIP_64_3
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,Acinetobacter_haemolyticus_NIPH_261
0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,Acinetobacter_haemolyticus_TG19599
0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,Acinetobacter_haemolyticus_TG21157
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,Acinetobacter_johnsonii_ANC_3681
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,Acinetobacter_johnsonii_CIP_64_6
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,Acinetobacter_johnsonii_SH046
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_junii_CIP_107470
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_junii_CIP_64_5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_junii_NIPH_182
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_junii_SH205
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_lwoffii_CIP_70_31
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_lwoffii_ERR2221242
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_lwoffii_NCTC_5866
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_lwoffii_NIPH_478
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_lwoffii_NIPH_715
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_lwoffii_SH145
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_lwoffii_TG19636
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_lwoffii_WJ10621
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_nosocomialis_NIPH_2119
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_nosocomialis_WC_487
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_pittii_ANC_3678
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_pittii_ANC_4052
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_pittii_AP_882
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_pittii_CIP_70_29
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_pittii_D499
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_pittii_IEC338SC
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_pittii_TG6411
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_pittii_WC_136
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,Acinetobacter_radioresistens_DSM_6976
1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,Acinetobacter_radioresistens_NIPH_2130
